brand,model,modification,cylinders,powerHp,engineVolume,transmissionType,transmissionSpeeds,baseCityNorm,baseHighwayNorm,fuelType,vehicleType,baseCombinedNorm,testCycle,normSource,sourceRef,publicTime,energyType,driveType,aliasCn,brandCn,region,phaseLow,phaseMid,phaseHigh,phaseExtra,electricKwh,co2,drivingRange,mass
Mercedes-Benz,V230,7,4L,143.0,2.295,AT,4,13.9,12.5,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Citroen,L4H2M2C-A 2.2HDi,18 мест,4L,120.0,2.198,MT,6,11.8,10.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Fiat,Ducato 2.3TDI,10 мест,4L,110.0,2.286,MT,5,10.9,9.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Fiat,Ducato 2.3TDI,15 мест,4L,110.0,2.286,MT,5,11.2,9.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Fiat,Ducato 2.3TDI,19 мест,4L,110.0,2.286,MT,5,11.3,9.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Fiat,Ducato 2.3TDI,9 мест,4L,110.0,2.286,MT,5,10.7,9.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Fiat,Ducato 244 2.3D,18 мест,4L,110.0,2.286,MT,5,11.9,10.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Fiat,Ducato FST523,14 мест,4L,120.0,2.287,MT,6,12.8,10.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Tourneo Bus 2.2TD,7 мест,4L,140.0,2.198,MT,6,9.7,8.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Tourneo Combi 2.2D,9 мест,4L,110.0,2.198,MT,5,9.2,7.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 2.2TD,10 мест,4L,110.0,2.198,MT,5,9.5,8.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 2.2TD,14 мест,4L,155.0,2.198,MT,6,9.8,8.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 2.3,15 мест,4L,145.0,2.261,MT,5,12.9,11.6,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 2.4TD,19 мест,4L,140.0,2.406,MT,6,13.7,11.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 222700,17 мест,4L,155.0,2.198,MT,6,12.9,11.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 222701 2.4TD,17 мест,4L,140.0,2.402,MT,6,13.6,11.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 222702,19 мест,4L,155.0,2.198,MT,6,12.7,10.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 222703,14 мест,4L,140.0,2.402,MT,6,12.4,10.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 3,14 мест,5L,200.0,3.199,MT,6,12.1,10.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 32361,19 мест,4L,116.0,2.402,MT,6,13.0,11.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit 460 Bus 2.4TD,17 мест,4L,140.0,2.402,MT,6,13.8,11.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Bus 2.4D,14 мест,4L,116.0,2.402,MT,6,11.5,9.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Bus 2.4D,17 мест,4L,116.0,2.402,MT,6,13.1,11.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Connect 1.8D,8 мест,4L,90.0,1.753,MT,5,8.4,7.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Jumbo 430,19 мест,4L,116.0,2.402,MT,5,13.8,11.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Kombi 2.2TD,8 мест,4L,86.0,2.198,MT,5,8.4,7.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Kombi 2.2TD,9 мест,4L,110.0,2.198,MT,5,9.4,8.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Kombi 300MWB,9 мест,4L,116.0,2.198,MT,6,10.3,8.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Tourneo 2.0D,9 мест,4L,101.0,1.998,MT,5,9.3,7.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Tourneo 2.2TD,8 мест,4L,125.0,2.198,MT,6,9.4,8.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Tourneo BUS 2.4TD,14 мест,4L,116.0,2.402,MT,6,11.6,9.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ford,Transit Van 2.2TD Деловое купе,8 мест,4L,116.0,2.198,MT,6,10.6,9.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Foton,View 2.2,9 мест,4L,103.0,2.237,MT,5,12.8,11.5,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Golden Dragon,GrandXML6129E1,45 мест,6L,300.0,8.268,MT,6,26.0,22.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Golden Dragon,XML6796,29 мест,4L,185.0,5.307,MT,5,26.3,22.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Golden Dragon,XML6896E1A,30 мест,6L,220.0,8.268,MT,6,30.0,25.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
