market_brand;market_model;data_brand;model_cn;records;sample_usual_name
Haval;Jolion;Haval;初恋;16;哈弗初恋
Haval;Dargo;Haval;大狗;76;哈弗大狗
Haval;H6;Haval;H6;448;哈弗H6
Haval;H6;Haval;枭龙MAX,哈弗H6L;3;哈弗枭龙MAX,哈弗H6L
Haval;H9;Haval;H9;104;哈弗H9
Haval;F7;Haval;F7;34;哈弗F7
Haval;F7x;Haval;F7x;27;哈弗F7x
Haval;Chitu;Haval;赤兔;14;哈弗赤兔
Haval;Menglong;Haval;猛龙;23;哈弗猛龙
Haval;Xiaolong;Haval;枭龙;18;哈弗枭龙
Haval;Shenshou;Haval;神兽;29;哈弗神兽
Haval;Kugou;Haval;酷狗;20;哈弗酷狗
Tank;300;Tank;坦克300;20;坦克300
Tank;500;Tank;坦克500;7;坦克500
Tank;400;Tank;坦克400;11;坦克400
Tank;700;Tank;坦克700;3;坦克700
Wey;Mocha;Wey;牌摩卡;6;魏牌摩卡
Wey;Latte;Wey;牌拿铁;2;魏牌拿铁
Wey;Lanshan;Wey;牌蓝山;12;魏牌蓝山
Wey;VV5;WEY;VV5;27;VV5
Wey;VV6;WEY;VV6;13;VV6
Wey;VV7;WEY;VV7 PHEV;11;VV7 PHEV
Ora;Funky Cat;Ora;好猫;106;欧拉好猫
Ora;Lightning Cat;Ora;闪电猫;68;欧拉闪电猫
Ora;Ballet Cat;Ora;芭蕾猫;22;欧拉芭蕾猫
Great Wall;Poer;Great Wall;炮;668;长城炮
Great Wall;Wingle;Great Wall;风骏;257;风骏
Geely;Coolray;Geely;缤越;36;吉利缤越
Geely;Atlas;Geely;博越;62;吉利博越
Geely;Atlas;Geely;博越PRO;36;吉利博越PRO
Geely;Atlas Pro;Geely;博越L;9;博越L
Geely;Tugella;Geely;星越;41;吉利星越
Geely;Monjaro;Geely;星越L;16;星越L
Geely;Emgrand;Geely;帝豪1.5MT;50;帝豪1.5MT
Geely;Okavango;Geely;豪越;96;豪越
Geely;Cityray;Geely;缤瑞;51;吉利缤瑞
Chery;Tiggo 4;Chery;瑞虎3X;27;瑞虎3X
Chery;Tiggo 3;Chery;瑞虎3X;27;瑞虎3X
