market_brand;patterns;only_if_brand
Jetour;X70|X70S|X70 PLUS|X70 PRO|X90|X90 PRO|X90 PLUS|X95|大圣|旅行者|山海|X70 C-DM;Chery
Exeed;揽月|凌云|TXL|TX|VX|瑶光|STERRA|追风;Chery
Tank;坦克|300|500|400|700;Great Wall
Ora;好猫|闪电猫|芭蕾猫|欧拉;Great Wall
WEY;摩卡|拿铁|蓝山|VV5|VV6|VV7|机甲龙|圆梦|幸福家|远方|时光|AI家;Great Wall
Zeekr;001|007|009|001FR|MIX;Geely
Lotus;EMEYA|ELETRE|EMIRA;Geely
Maxus;D60|D90|G50|G10|G20|T60|T70|T90|大家;Maxus
Baojun;510|530|730|360|RS-3|RS-5|RC-5|RC-6|KiWi|云朵|悦也;Wuling
Aion;埃安|AION|S|Y|V|LX|RT;GAC
Bestune;奔腾|B70|B50|T33|T55|T77|T99|E01;FAW
Hongqi;红旗|E-HS9|E-QM5|H5|H9|HS5|HS7|HS3|L5;FAW
Forthing;风行|T5 EVO|T5|S50|菱智;Dongfeng
Fengon;风光|580|560|500|ix5|ix7|E3;Dongfeng
Aeolus;风神|AX7|AX4|奕炫|E70|皓极;Dongfeng
Rich;锐骐|锐骐6|锐骐7;Dongfeng
Refine;瑞风|M3|M4|M5|S3|S5|S7;JAC
Deepal;深蓝|SL03|S7|S05|L07;Changan
Yangwang;仰望|U8|U9;BYD
Denza;腾势|D9|N7|N8|Z9;BYD
Fangchengbao;方程豹|豹5|豹8;BYD
Avatr;阿维塔|11|12|07|06;Changan
Neta;哪吒|V|U|S|X|AYA;Neta
Leapmotor;零跑|T03|C11|C10|C01|C16;Leapmotor
